Prospecto,Semana,Verificado,Oe,PrioridadProspecto,Canal
346,3,Si,2,Prioridad Media,Organico
347,3,Si,6,Prioridad Alta,Organico
348,3,No,,Prioridad Alta,Organico
349,3,No,,Prioridad Alta,AdWords
350,3,Si,2,Prioridad Alta,Instagram
351,3,Si,5,Prioridad Alta,Facebook
352,3,No,,Prioridad Media,AdWords
353,3,No,,Prioridad Baja,AdWords
354,3,Si,11,Prioridad Alta,Organico
355,3,No,,Prioridad Baja,AdWords
356,3,No,,Prioridad Baja,Organico
357,3,No,,Prioridad Alta,Facebook
358,3,No,,Prioridad Alta,Instagram
359,3,Si,6,Prioridad Alta,Organico
360,3,Si,1,Prioridad Media,AdWords
361,3,No,,Prioridad Alta,Facebook
362,3,No,,Prioridad Media,Organico
363,3,No,,Prioridad Baja,Facebook
364,3,Si,5,Prioridad Media,Instagram
365,3,Si,2,Prioridad Alta,Instagram
366,3,Si,3,Prioridad Alta,Instagram
367,3,No,,Prioridad Baja,Organico
368,3,Si,2,Prioridad Alta,Organico
369,3,Si,7,Prioridad Alta,Organico
370,3,Si,11,Prioridad Alta,AdWords
371,3,No,,Prioridad Alta,AdWords
372,3,No,,Prioridad Alta,AdWords
373,3,No,,Prioridad Alta,AdWords
374,3,No,,Prioridad Alta,AdWords
375,3,No,,Prioridad Alta,AdWords
376,3,No,,Prioridad Alta,AdWords
377,3,No,,Prioridad Alta,AdWords
378,3,No,,Prioridad Alta,AdWords
379,3,No,,Prioridad Alta,AdWords
380,3,No,,Prioridad Alta,AdWords
381,4,No,,Prioridad Baja,Instagram
382,4,Si,2,Prioridad Alta,Organico
383,4,No,,Prioridad Media,AdWords
384,4,No,,Prioridad Alta,AdWords
385,4,No,,Prioridad Alta,Instagram
386,4,Si,21,Prioridad Media,AdWords
387,4,No,,Prioridad Media,AdWords
388,4,Si,3,Prioridad Alta,AdWords
389,4,No,,Prioridad Baja,Instagram
390,4,Si,3,Prioridad Alta,Instagram
391,4,No,,Prioridad Media,Facebook
392,4,No,,Prioridad Baja,Instagram
393,4,Si,21,Prioridad Alta,AdWords
394,4,No,,Prioridad Baja,Organico
395,4,Si,1,Prioridad Alta,Organico
396,4,No,,Prioridad Alta,Organico
397,4,No,,Prioridad Baja,Organico
398,4,No,,Prioridad Alta,Instagram
399,4,No,,Prioridad Baja,Organico
400,4,No,,Prioridad Baja,Organico
401,4,No,,Prioridad Media,Organico
402,4,Si,1,Prioridad Alta,Instagram
403,4,No,,Prioridad Baja,Instagram
404,4,Si,5,Prioridad Alta,Instagram
405,4,Si,1,Prioridad Alta,Organico
406,4,Si,14,Prioridad Alta,AdWords
407,4,No,,Prioridad Alta,Organico
408,4,No,,Prioridad Baja,Organico
409,4,Si,11,Prioridad Alta,Facebook
410,4,Si,6,Prioridad Alta,AdWords
411,4,No,,Prioridad Baja,Organico
412,4,No,,Prioridad Alta,Organico
413,4,Si,2,Prioridad Alta,AdWords
414,4,Si,18,Prioridad Alta,Organico
415,4,Si,3,Prioridad Alta,AdWords
416,4,No,,Prioridad Alta,Instagram
417,4,Si,20,Prioridad Alta,AdWords
418,4,No,,Prioridad Alta,Instagram
419,4,Si,1,Prioridad Alta,Organico
420,4,Si,2,Prioridad Alta,AdWords
421,4,Si,1,Prioridad Media,Organico
422,4,Si,6,Prioridad Media,Instagram
423,4,Si,3,Prioridad Alta,Instagram
424,4,No,,Prioridad Alta,Organico
425,4,No,,Prioridad Alta,Organico
426,4,No,,Prioridad Alta,AdWords
427,4,No,,Prioridad Alta,AdWords
428,4,Si,1,Prioridad Alta,Instagram
429,4,Si,21,Prioridad Alta,AdWords
430,4,No,,Prioridad Baja,Instagram
431,4,No,,Prioridad Alta,Instagram
432,4,Si,2,Prioridad Alta,Instagram
433,4,Si,2,Prioridad Alta,AdWords
434,4,Si,2,Prioridad Alta,AdWords
435,4,No,,Prioridad Alta,Organico
436,4,Si,18,Prioridad Alta,Organico
437,4,No,,Prioridad Alta,Instagram
438,4,No,,Prioridad Alta,Organico
439,4,Si,1,Prioridad Media,Instagram
440,4,Si,16,Prioridad Media,AdWords
441,4,No,,Prioridad Alta,AdWords
442,4,No,,Prioridad Baja,Instagram
443,4,Si,6,Prioridad Alta,Facebook
444,4,Si,1,Prioridad Alta,Organico
445,4,No,,Prioridad Alta,Instagram
446,4,No,,Prioridad Baja,Instagram
447,4,Si,9,Prioridad Media,Organico
448,4,Si,17,Prioridad Alta,Organico
449,4,Si,21,Prioridad Baja,Organico
450,4,No,,Prioridad Media,AdWords
451,4,Si,4,Prioridad Baja,AdWords
452,4,Si,20,Prioridad Alta,Instagram
453,4,Si,4,Prioridad Alta,Instagram
454,4,Si,6,Prioridad Alta,Facebook
455,4,Si,12,Prioridad Alta,Instagram
456,4,No,,Prioridad Baja,Instagram
457,4,Si,7,Prioridad Alta,AdWords
458,4,No,,Prioridad Baja,Organico
459,4,Si,5,Prioridad Alta,AdWords
460,4,No,,Prioridad Alta,Organico
461,4,Si,18,Prioridad Media,Organico
462,4,No,,Prioridad Alta,Facebook
463,4,No,,Prioridad Alta,Instagram
464,4,Si,4,Prioridad Alta,AdWords
465,4,No,,Prioridad Baja,AdWords
466,4,No,,Prioridad Alta,Instagram
467,4,No,,Prioridad Alta,AdWords
468,4,No,,Prioridad Baja,Instagram
469,4,No,,Prioridad Media,Instagram
470,4,No,,Prioridad Baja,Instagram
471,4,Si,19,Prioridad Alta,Facebook
472,4,No,,Prioridad Baja,Instagram
473,4,No,,Prioridad Alta,Instagram
474,4,No,,Prioridad Media,Facebook
475,4,No,,Prioridad Media,Organico
476,4,Si,2,Prioridad Alta,Instagram
477,4,Si,19,Prioridad Media,Instagram
478,4,Si,6,Prioridad Media,AdWords
479,4,Si,6,Prioridad Alta,Instagram
480,4,Si,7,Prioridad Alta,Instagram
481,4,No,,Prioridad Media,Facebook
482,4,No,,Prioridad Alta,AdWords
483,4,Si,7,Prioridad Alta,Instagram
484,4,No,,Prioridad Baja,Facebook
485,4,No,,Prioridad Baja,Organico
486,4,Si,6,Prioridad Alta,Instagram
487,4,Si,2,Prioridad Alta,AdWords
488,4,No,,Prioridad Media,AdWords
489,4,No,,Prioridad Media,Instagram
490,4,No,,Prioridad Baja,Instagram
491,4,No,,Prioridad Media,Organico
492,4,No,,Prioridad Media,Organico
493,4,No,,Prioridad Baja,Instagram
494,4,Si,6,Prioridad Alta,Organico
495,4,No,,Prioridad Baja,AdWords
496,4,Si,21,Prioridad Alta,Instagram
497,4,Si,3,Prioridad Media,AdWords
498,4,Si,1,Prioridad Alta,Organico
499,4,Si,3,Prioridad Alta,Organico
500,4,Si,19,Prioridad Alta,Organico
501,4,Si,20,Prioridad Alta,AdWords
502,4,Si,2,Prioridad Media,Facebook
503,4,Si,5,Prioridad Alta,Instagram
504,4,Si,13,Prioridad Alta,Facebook
505,4,Si,6,Prioridad Media,AdWords
506,4,Si,3,Prioridad Alta,Organico
507,4,Si,3,Prioridad Alta,Organico
508,4,Si,5,Prioridad Alta,Facebook
509,4,No,,Prioridad Baja,Instagram
510,4,No,,Prioridad Media,Organico
511,4,No,,Prioridad Alta,AdWords
512,4,No,,Prioridad Alta,AdWords
513,4,No,,Prioridad Alta,AdWords
514,4,No,,Prioridad Alta,AdWords
515,5,Si,4,Prioridad Alta,Facebook
516,5,Si,6,Prioridad Alta,Organico
517,5,No,,Prioridad Baja,Instagram
518,5,Si,18,Prioridad Alta,AdWords
519,5,No,,Prioridad Media,Organico
520,5,No,,Prioridad Alta,Instagram
521,5,Si,12,Prioridad Alta,Instagram
522,5,No,,Prioridad Media,AdWords
523,5,No,,Prioridad Media,Organico
524,5,Si,20,Prioridad Alta,AdWords
525,5,Si,5,Prioridad Alta,Facebook
526,5,Si,6,Prioridad Alta,Facebook
527,5,No,,Prioridad Baja,Organico
528,5,No,,Prioridad Media,AdWords
529,5,No,,Prioridad Baja,Organico
530,5,No,,Prioridad Baja,Organico
531,5,No,,Prioridad Alta,Instagram
532,5,Si,1,Prioridad Alta,Instagram
533,5,No,,Prioridad Media,AdWords
534,5,Si,19,Prioridad Alta,Organico
535,5,No,,Prioridad Media,Facebook
536,5,No,,Prioridad Baja,Organico
537,5,Si,8,Prioridad Alta,Organico
538,5,No,,Prioridad Alta,AdWords
539,5,Si,13,Prioridad Alta,Instagram
540,5,No,,Prioridad Alta,Instagram
541,5,Si,9,Prioridad Alta,Instagram
542,5,No,,Prioridad Media,Organico
543,5,Si,6,Prioridad Alta,Instagram
544,5,Si,7,Prioridad Alta,Instagram
545,5,No,,Prioridad Baja,AdWords
546,5,Si,3,Prioridad Alta,AdWords
547,5,Si,3,Prioridad Alta,Facebook
548,5,No,,Prioridad Alta,Organico
549,5,No,,Prioridad Baja,Organico
550,5,Si,6,Prioridad Alta,AdWords
551,5,No,,Prioridad Media,AdWords
552,5,Si,1,Prioridad Alta,AdWords
553,5,No,,Prioridad Alta,AdWords
554,5,No,,Prioridad Baja,Instagram
555,5,Si,13,Prioridad Alta,Instagram
556,5,No,,Prioridad Baja,AdWords
557,5,Si,1,Prioridad Alta,AdWords
558,5,Si,2,Prioridad Alta,AdWords
559,5,No,,Prioridad Baja,AdWords
560,5,No,,Prioridad Baja,Instagram
561,5,No,,Prioridad Baja,Facebook
562,5,No,,Prioridad Baja,Organico
563,5,No,,Prioridad Baja,Facebook
564,5,No,,Prioridad Alta,Organico
565,5,Si,4,Prioridad Alta,Organico
566,5,Si,1,Prioridad Alta,Instagram
567,5,No,,Prioridad Alta,Organico
568,5,Si,13,Prioridad Alta,Organico
569,5,Si,1,Prioridad Alta,Facebook
570,5,Si,5,Prioridad Alta,Facebook
571,5,No,,Prioridad Baja,Facebook
572,5,No,,Prioridad Media,AdWords
573,5,No,,Prioridad Baja,AdWords
574,5,No,,Prioridad Baja,Instagram
575,5,No,,Prioridad Media,Organico
576,5,Si,12,Prioridad Media,AdWords
577,5,Si,19,Prioridad Media,AdWords
578,5,No,,Prioridad Alta,Instagram
579,5,No,,Prioridad Baja,Organico
580,5,No,,Prioridad Alta,Organico
581,5,Si,20,Prioridad Baja,AdWords
582,5,No,,Prioridad Media,Facebook
583,5,Si,10,Prioridad Alta,Organico
584,5,Si,20,Prioridad Alta,Instagram
585,5,Si,2,Prioridad Alta,Organico
586,5,Si,6,Prioridad Alta,AdWords
587,5,Si,8,Prioridad Alta,Organico
588,5,No,,Prioridad Alta,AdWords
589,5,No,,Prioridad Baja,Facebook
590,5,Si,9,Prioridad Alta,Organico
591,5,No,,Prioridad Baja,Organico
592,5,No,,Prioridad Alta,AdWords
593,5,No,,Prioridad Alta,Organico
594,5,No,,Prioridad Media,Instagram
595,5,No,,Prioridad Baja,Organico
596,5,No,,Prioridad Media,AdWords
597,5,No,,Prioridad Media,Organico
598,5,Si,8,Prioridad Media,Organico
599,5,No,,Prioridad Media,Instagram
600,5,Si,7,Prioridad Alta,Organico
601,5,No,,Prioridad Baja,Instagram
602,5,Si,7,Prioridad Alta,Facebook
603,5,No,,Prioridad Baja,Instagram
604,5,No,,Prioridad Baja,AdWords
605,5,Si,6,Prioridad Alta,Instagram
606,5,Si,13,Prioridad Alta,Instagram
607,5,Si,3,Prioridad Media,AdWords
608,5,Si,7,Prioridad Alta,AdWords
609,5,No,,Prioridad Media,Facebook
610,5,Si,16,Prioridad Alta,Instagram
611,5,No,,Prioridad Baja,AdWords
612,5,Si,15,Prioridad Alta,AdWords
613,5,Si,6,Prioridad Alta,Instagram
614,5,Si,11,Prioridad Alta,AdWords
615,5,No,,Prioridad Alta,AdWords
616,5,Si,2,Prioridad Alta,Instagram
617,5,Si,5,Prioridad Alta,AdWords
618,5,Si,1,Prioridad Baja,Organico
619,5,Si,2,Prioridad Alta,AdWords
620,5,Si,20,Prioridad Alta,Facebook
621,5,Si,10,Prioridad Alta,Organico
622,5,No,,Prioridad Media,AdWords
623,5,Si,2,Prioridad Alta,Instagram
624,5,Si,2,Prioridad Alta,Instagram
625,5,Si,15,Prioridad Alta,Facebook
626,5,Si,4,Prioridad Alta,Instagram
627,5,No,,Prioridad Alta,AdWords
628,5,No,,Prioridad Alta,AdWords
629,5,No,,Prioridad Alta,Facebook
630,5,Si,2,Prioridad Baja,Organico
631,5,Si,12,Prioridad Alta,Instagram
632,5,No,,Prioridad Baja,Organico
633,5,No,,Prioridad Baja,AdWords
634,5,No,,Prioridad Alta,AdWords
635,5,No,,Prioridad Alta,AdWords
636,5,No,,Prioridad Alta,AdWords
637,5,No,,Prioridad Alta,AdWords
638,5,No,,Prioridad Alta,AdWords
639,6,No,,Prioridad Baja,AdWords
640,6,Si,1,Prioridad Alta,Facebook
641,6,No,,Prioridad Alta,AdWords
642,6,No,,Prioridad Media,Organico
643,6,Si,5,Prioridad Alta,Instagram
644,6,No,,Prioridad Media,Organico
645,6,No,,Prioridad Media,AdWords
646,6,Si,6,Prioridad Alta,AdWords
647,6,No,,Prioridad Alta,Instagram
648,6,Si,14,Prioridad Alta,Instagram
649,6,No,,Prioridad Alta,Organico
